,P_mm,EP_mm,Q_mm,RC
1996-09-01,47.73398830069903,79.5521263241554,14.131512195121951,0.2960471709613044
1996-10-01,64.0339814162373,94.323530028319,7.975583739837399,0.12455236365819673
1996-11-01,154.52976264753306,107.6034969366607,21.254556097560975,0.1375434462165097
1996-12-01,133.38589155889576,125.4875444162405,9.770757723577235,0.073251808038956
1997-01-01,142.69117363051933,98.2124294428551,5.868305691056911,0.04112591929653717
1997-02-01,157.9422907425152,100.9955722115489,38.90748617886179,0.24633988779034846
1997-03-01,89.39215026201633,101.0501821228208,22.525177235772357,0.2519816020729903
1997-04-01,19.744280652583562,70.3862972945327,5.033573983739838,0.25493833238645686
1997-05-01,68.21035892985242,46.95933898449406,8.199570731707317,0.12021005108827768
1997-06-01,33.135033499969495,36.96293781905002,12.570991869918698,0.37938672583295474
1997-07-01,22.3751124142322,36.772227608020025,7.3698601626016265,0.3293775703184338
1997-08-01,15.092362212531746,49.231912380961866,3.4913040650406506,0.23132919922513467
1997-09-01,92.39207103637567,65.09290555103622,3.7372357723577236,0.04044974563765691
1997-10-01,68.06999525989899,93.1433847490638,6.488572357723577,0.095322062723076
1997-11-01,93.75775271053047,106.3586809711508,2.3050146341463416,0.02458478971080812
1997-12-01,94.52197808627115,113.8473021139549,1.48290081300813,0.01568842340195919
1998-01-01,120.46477363112504,118.3641628421469,2.8060747967479673,0.02329373734881571
1998-02-01,137.1607594112528,100.0017934058926,3.197515447154472,0.023312173692238574
1998-03-01,51.87064074383549,87.1772104795086,0.7070829268292683,0.013631659773034535
1998-04-01,89.85192854045296,60.399270635110824,1.620370731707317,0.0180337891242679
1998-05-01,126.14258243028013,49.82758777102123,14.298718699186992,0.11335362273156245
1998-06-01,61.997221577016475,38.06457931603329,11.985560975609756,0.19332416309528663
1998-07-01,100.40082298135147,40.11780529701785,20.136923577235773,0.20056532386169804
1998-08-01,102.54534437870545,55.36774576486701,36.59513495934959,0.3568678342353779
1998-09-01,111.459591161019,74.4101071044571,26.100227642276423,0.2341676240725752
1998-10-01,82.9069346326481,105.1241173143586,9.175167479674796,0.11066827546246881
1998-11-01,143.93263676857947,100.6812520788841,16.214139837398374,0.11265089142685618
1998-12-01,106.03047441641407,128.4536134905914,6.4814439024390245,0.061128123193945304
1999-01-01,143.49075569862003,120.7454477687161,6.299408130081301,0.043901142616547546
1999-02-01,133.59507202999805,98.4553602202563,21.55578536585366,0.16135165046367447
1999-03-01,112.38046233996681,95.3515181346948,13.508773983739838,0.12020571638933006
1999-04-01,129.6098708408787,64.5888327820196,48.52706341463415,0.37440870128024856
1999-05-01,21.097404587861927,48.479116652023656,10.484526829268292,0.49695813461815136
1999-06-01,71.83828968718183,38.244359163710854,12.620773983739838,0.17568310769502873
1999-07-01,129.62962299959253,42.49993957497533,76.01060162601625,0.5863675282481936
1999-08-01,47.77950541464465,52.94559548646507,13.193261788617887,0.27612805268959706
1999-09-01,70.6821064685644,79.01943546338251,13.566243902439025,0.19193321450419082
1999-10-01,133.13541072944292,99.3232771631074,19.491082926829268,0.14640044162584923
1999-11-01,97.93056988449707,102.2622718570121,25.832767479674796,0.2637865531686675
1999-12-01,95.14869116824951,108.0097564062154,12.007817886178861,0.12620055766133115
2000-01-01,109.18335042556616,117.4349998552705,13.981073170731706,0.1280513294035894
2000-02-01,33.660445092851994,97.6797053243354,6.303622764227642,0.18727092725123398
2000-03-01,223.44083019623227,84.2079369701586,46.07523902439025,0.20620778657117245
2000-04-01,70.6243282409723,68.3168901813403,19.993782113821137,0.28310049258949066
2000-05-01,24.283418600099147,49.904378720313815,14.965164227642276,0.6162708996657157
2000-06-01,21.43329704003292,35.675272571616325,6.6157918699186995,0.3086688836328719
2000-07-01,38.33853075925952,41.54498481137912,8.8322081300813,0.23037419418969637
2000-08-01,33.00330493362012,49.20963286760426,8.366022764227642,0.2534904543970462
2000-09-01,18.356714850085066,67.9647791603328,5.954536585365854,0.3243792058652728
2000-10-01,67.77274685916161,73.0364919936342,4.073079674796748,0.06009907910713735
2000-11-01,212.99393892385694,89.690261830869,30.097092682926828,0.14130492555323942
2000-12-01,102.05547800438633,129.416520755642,11.190738211382113,0.10965347897249707
2001-01-01,160.29656939966492,117.5429307091998,3.3621983739837398,0.02097486169901006
2001-02-01,107.56523460718655,105.0960118651681,27.591323577235773,0.25650781758618846
2001-03-01,244.7302824752264,99.8258147491718,173.78234796747967,0.7100974436421505
2001-04-01,49.12525879167474,73.1718250492945,17.98660162601626,0.3661375444817901
2001-05-01,70.7184250241963,52.14476752520295,53.04418861788618,0.7500759328242549
2001-06-01,7.955014526653086,37.88298110451477,10.974334959349594,1.3795493298699013
2001-07-01,57.155563273967175,38.85728244936355,8.388565853658537,0.14676726766647585
2001-08-01,25.734911692353897,54.7499390602331,8.704728455284553,0.3382459034382782
2001-09-01,24.55597323538734,65.3120395389055,7.776559349593496,0.3166870754846231
2001-10-01,37.034468591375195,82.2516682542523,4.615219512195122,0.12461956895123212
2001-11-01,128.77575527340832,87.08671485063189,6.2064910569105685,0.04819611458487158
2001-12-01,95.63105776465714,121.9756756492106,4.8257560975609755,0.050462226502156864
2002-01-01,82.44297938582181,101.7261826505117,1.3361040650406504,0.016206401988310817
2002-02-01,141.76935741904109,87.7553850764088,18.422139837398376,0.1299444405531607
2002-03-01,132.4498115587955,88.9488908585622,3.90489756097561,0.02948209223568579
2002-04-01,45.94280212005185,68.7969162056023,8.57040650406504,0.18654514110110113
2002-05-01,40.26195408196622,46.571722692769534,3.695479674796748,0.09178589959328363
2002-06-01,17.435919597848372,39.998329671879134,4.668539837398374,0.2677541503445841
2002-07-01,5.116114819051272,36.38634638093077,2.3446243902439026,0.45828220694208105
2002-08-01,38.48099019607143,45.20938038912032,2.022360975609756,0.05255480603033498
2002-09-01,34.579544682552,66.7282600333275,2.1118048780487806,0.061070927840017115
2002-10-01,18.623259231766166,60.3527110142569,0.5421268292682927,0.029110201523886495
2002-11-01,74.38438571007124,63.0208805524245,0.17495934959349593,0.002352097794763497
2002-12-01,113.62286492606358,104.5160641870779,5.153053658536585,0.04535225952883488
2003-01-01,42.20307626171574,86.2606013670495,1.3384845528455285,0.03171533147359039
2003-02-01,160.82145075860538,63.6333240183449,5.206855284552845,0.03237662177521572
2003-03-01,101.05499119585498,90.740731802901,11.339030894308943,0.11220653982674376
2003-04-01,94.20799909380321,61.6233283269321,6.689066666666667,0.07100317097284214
2003-05-01,60.37234170543435,53.2271687257976,37.566777235772356,0.6222514511540111
2003-06-01,33.95255942203672,39.82846053199492,11.19959674796748,0.32986016190280026
2003-07-01,19.166708196049647,39.5202653976658,5.935271544715447,0.30966567049519417
2003-08-01,43.54078463085981,47.22300650936289,4.29069268292683,0.09854422053491828
2003-09-01,12.431432505790298,62.5084946938506,2.6338341463414636,0.21186891736850758
2003-10-01,98.40829998315508,85.5935348065259,4.210211382113821,0.04278309230862131
2003-11-01,112.38864218899852,92.7736606860558,3.4522016260162602,0.030716641457513655
2003-12-01,118.20138596520435,114.0805692858517,8.59410731707317,0.07270733119494106
2004-01-01,173.17914560552765,116.2252404134326,10.14128130081301,0.05855948339133805
2004-02-01,145.9936983201794,97.889660852324,17.134933333333333,0.11736762292133075
2004-03-01,143.04523783041714,90.1503664961964,35.541931707317076,0.2484663750180395
2004-04-01,41.124784199274444,70.9646690286997,8.037684552845528,0.19544624268173874
2004-05-01,16.22585960762034,50.3835696294732,3.649040650406504,0.22489043654074034
2004-06-01,18.628743029318212,35.878614929702515,2.5130536585365855,0.13490194451560697
2004-07-01,49.63559671956517,34.06287644916411,2.895739837398374,0.05833998236706888
2004-08-01,37.51474866055964,52.201246620131585,3.666991869918699,0.09774800580695123
2004-09-01,82.6890888031433,66.9725215557068,3.2924878048780486,0.039817681540988144
2004-10-01,199.76328436931695,95.2725031789444,36.66111219512195,0.18352277452218838
2004-11-01,77.77013542502402,113.2299766359897,7.6674341463414635,0.09859098360106906
2004-12-01,166.51068612146886,120.3199803682116,7.255544715447154,0.0435740485157467
2005-01-01,109.36780440827353,117.549806064743,8.384572357723577,0.07666399086173202
2005-02-01,117.56769255623418,109.3302933919319,9.762731707317073,0.08303923888484441
2005-03-01,118.96671632540057,93.02043475647,15.137092682926829,0.12723804733353736
