system:index,ET
2005_12_19,367.8177500742057
2005_12_27,219.18783021668145
2006_01_01,305.2866132383495
2006_01_09,333.89723953695443
2006_01_17,349.15642623924015
2006_01_25,391.7109528049867
2006_02_02,333.7090531314928
2006_02_10,303.7523894330662
2006_02_18,329.03751855149886
2006_02_26,187.38907687741164
2006_03_06,289.3827248441672
2006_03_14,236.18676165034123
2006_03_22,207.91570198872054
2006_03_30,185.88601959038294
2006_04_07,204.0991985752448
2006_04_15,177.38883941822496
2006_04_23,132.95203324428604
2006_05_01,136.77192045117238
2006_05_09,114.50299792223205
2006_05_17,101.08411991688926
2006_05_25,88.89979222321162
2006_06_02,74.15363609379635
2006_06_10,79.50566933808247
2006_06_18,83.31914514692782
2006_06_26,85.87438409023447
2006_07_04,83.36022558622732
2006_07_12,74.82024339566634
2006_07_20,84.74283170080142
2006_07_28,88.75256752745621
2006_08_05,98.80759869397444
2006_08_13,109.80694568121102
2006_08_21,126.73386761650333
2006_08_29,146.86915998812705
2006_09_06,123.47776788364497
2006_09_14,191.90097951914512
2006_09_22,202.17435440783612
2006_09_30,230.5354704660135
2006_10_08,256.5326803205698
2006_10_16,215.04357376075984
2006_10_24,250.2642920747996
2006_11_01,199.060017809439
2006_11_09,285.8971208073611
2006_11_17,310.3444345503116
2006_11_25,297.2907094093202
2006_12_03,319.28637577916294
2006_12_11,252.71997625408127
2006_12_19,267.0184624517661
2006_12_27,186.5221727515583
2007_01_01,275.48754004983965
2007_01_09,294.11558087100985
2007_01_17,310.0535184525928
2007_01_25,328.72896641746763
2007_02_02,305.2048178473952
2007_02_10,254.061172421977
2007_02_18,290.3885131126142
2007_02_26,269.20398718405136
2007_03_06,228.32971401447725
2007_03_14,259.09054230449743
2007_03_22,231.7745342351963
2007_03_30,200.24510501957997
2007_04_07,184.4893200427199
2007_04_15,185.41165302005462
2007_04_23,130.75210632490803
2007_05_01,148.05636644120094
2007_05_09,122.47597009611961
2007_05_17,116.46410347691942
2007_05_25,114.12139551441791
2007_06_02,83.45277085558327
2007_06_10,66.9182389937107
2007_06_18,72.7820102052925
2007_06_26,84.54242316364065
2007_07_04,72.41634033463865
2007_07_12,69.3616945532218
2007_07_20,87.33499466002134
