system:index,ET
2003_08_29,135.98952053103756
2003_09_06,170.79714269127126
2003_09_14,188.0002749121048
2003_09_22,205.32785369278295
2003_09_30,153.82281778179077
2003_10_08,184.42328092871446
2003_10_16,244.99992857694986
2003_10_24,242.3151427624451
2003_11_01,235.13217266017284
2003_11_09,295.6780152617439
2003_11_17,243.93041135766984
2003_11_25,277.67083188188997
2003_12_03,273.8864675942342
2003_12_11,320.3201840610471
2003_12_19,357.67180032358823
2003_12_27,213.6188694809485
2004_01_01,307.17653500204
2004_01_09,245.65682940952712
2004_01_17,322.6063016115356
2004_01_25,356.00460001751134
2004_02_02,328.78982212877594
2004_02_10,344.7440888539288
2004_02_18,267.4212230084134
2004_02_26,262.6027953690438
2004_03_05,277.6457010497659
2004_03_13,258.9629152662252
2004_03_21,242.9542411272982
2004_03_29,245.32266739498863
2004_04_06,217.19435349344624
2004_04_14,199.21116801471533
2004_04_22,170.12549093095
2004_04_30,145.52529186720693
2004_05_08,132.68615092290858
2004_05_16,131.9102835372108
2004_05_24,103.63529785685118
2004_06_01,106.58611160532178
2004_06_09,101.3557361945053
2004_06_17,85.76465361023628
2004_06_25,91.01833702500555
2004_07_03,88.96719823744992
2004_07_11,80.47840773846445
2004_07_19,79.07708415688498
2004_07_27,95.08296683064977
2004_08_04,93.97018332943432
2004_08_12,91.75192045082322
2004_08_20,141.79668786670243
2004_08_28,132.38904058902895
2004_09_05,156.4992915720916
2004_09_13,158.5662792123594
2004_09_21,202.16068163320682
2004_09_29,216.5448937622773
2004_10_07,253.5071843636364
2004_10_15,179.94528393748573
2004_10_23,274.7598282554163
2004_10_31,296.31231089631655
2004_11_08,297.1238007985963
2004_11_16,262.43114838116344
2004_11_24,328.93382203905765
2004_12_02,254.85660602610997
2004_12_10,337.1168420237103
2004_12_18,349.7434553179404
2004_12_26,234.33819411894856
2005_01_01,313.9565706250987
2005_01_09,328.0861421025602
2005_01_17,312.8483157525184
2005_01_25,337.30999440006104
2005_02_02,341.47061963791174
2005_02_10,307.7574146161948
2005_02_18,319.5365263777629
2005_02_26,329.96455567243447
2005_03_06,299.32426511531764
2005_03_14,224.66509535953875
2005_03_22,205.56311357321286
2005_03_30,209.66669446155646
2005_04_07,212.1693751792452
2005_04_15,188.52840044212343
2005_04_23,155.4212331147581
2005_05_01,132.04238950527133
2005_05_09,96.90173941860506
2005_05_17,103.25444253307629
2005_05_25,106.59293988630509
2005_06_02,100.22476919195984
2005_06_10,80.97536865077048
2005_06_18,84.81270968925936
2005_06_26,80.22711768187614
2005_07_04,91.81026869943673
2005_07_12,87.7719072560381
2005_07_20,107.13098635106964
2005_07_28,108.72016215127184
2005_08_05,99.40994781859933
2005_08_13,108.93367483306717
2005_08_21,119.2050485448994
2005_08_29,146.13071522762422
2005_09_06,166.71090520337142
2005_09_14,157.91909582059267
2005_09_22,204.5822026762594
2005_09_30,236.11119931460135
2005_10_08,212.45004901308772
2005_10_16,206.73968455286177
2005_10_24,273.1234097758215
2005_11_01,303.0823967156369
2005_11_09,317.3213301205333
2005_11_17,286.78527194481853
2005_11_25,283.8986156499959
2005_12_03,399.74968688518277
2005_12_11,362.76718209561693
2005_12_19,360.2239866581815
2005_12_27,217.44426009397785
2006_01_01,303.85846963585254
2006_01_09,338.60202654421886
2006_01_17,347.348559834109
2006_01_25,391.61513683801417
2006_02_02,329.5636151621181
2006_02_10,303.0806157249857
2006_02_18,329.604308227776
2006_02_26,190.67504624212634
2006_03_06,290.0468623063987
2006_03_14,238.21291098669153
2006_03_22,207.18558225378865
2006_03_30,184.94552967660297
2006_04_07,202.5903637701523
2006_04_15,176.53376393173974
2006_04_23,132.25164889895206
2006_05_01,136.16801881621453
2006_05_09,115.1169903235899
2006_05_17,101.34420283429067
2006_05_25,89.49610242761867
2006_06_02,76.64715120987032
2006_06_10,80.8547650226516
2006_06_18,84.24281527834101
2006_06_26,87.01656083386113
2006_07_04,84.66791823217335
2006_07_12,77.07361325285801
2006_07_20,84.88006513946196
2006_07_28,88.88289258425631
2006_08_05,99.39772630028855
2006_08_13,109.53433954574018
2006_08_21,127.23751580017957
2006_08_29,146.98855069149855
2006_09_06,125.2174674996291
2006_09_14,190.62796386496657
2006_09_22,202.04176681805075
2006_09_30,229.09492507466697
2006_10_08,254.60360856980722
2006_10_16,216.13402973898712
2006_10_24,248.17624243966708
2006_11_01,202.75219298326022
2006_11_09,283.5757541158291
2006_11_17,310.60518855476556
2006_11_25,299.07591688051576
2006_12_03,318.18523045007936
2006_12_11,258.52933934702355
2006_12_19,266.4117804930572
2006_12_27,188.12468673210805
