system:index,Evap_tavg
A20000321_1500,5.362728201327808E-7
A20000321_1800,3.2646632658135924E-6
A20000321_2100,2.8431428064682195E-6
A20000322_0000,1.894356779099236E-5
A20000322_0300,4.376078723066165E-5
A20000322_0600,4.448683471169649E-5
A20000322_0900,6.042791571925993E-6
A20000322_1200,1.5434176610083891E-6
A20000322_1500,1.308584311644073E-6
A20000322_1800,9.005890080732551E-7
A20000322_2100,9.129085564756791E-7
A20000323_0000,5.8491642500352264E-5
A20000323_0300,1.2348463638914327E-4
A20000323_0600,7.319333449393714E-5
A20000323_0900,7.243283620201277E-6
A20000323_1200,-2.1122056996358103E-8
A20000323_1500,9.98925938865624E-7
A20000323_1800,1.483115484170693E-6
A20000323_2100,1.8105652612986172E-6
A20000324_0000,1.9601196634545287E-5
A20000324_0300,3.609711708532826E-5
A20000324_0600,3.0030205584536966E-5
A20000324_0900,5.472092303827892E-6
A20000324_1200,9.159076791037892E-7
A20000324_1500,-1.2928654790522542E-8
A20000324_1800,6.128371130281571E-7
A20000324_2100,-1.2560137203467063E-7
A20000325_0000,2.5690349531915723E-5
A20000325_0300,4.7846937942105266E-5
A20000325_0600,4.192471477226779E-5
A20000325_0900,7.044740849012803E-6
A20000325_1200,1.8103596182003848E-7
A20000325_1500,-8.903784910598345E-7
A20000325_1800,3.110360256999982E-7
A20000325_2100,-5.94100431492643E-7
A20000326_0000,3.304940753225272E-5
A20000326_0300,7.516754980449321E-5
A20000326_0600,6.182934089830861E-5
A20000326_0900,1.1650749995802403E-5
A20000326_1200,-1.6704460531817824E-6
A20000326_1500,-1.6727919846957105E-6
A20000326_1800,-1.1129174716553463E-6
A20000326_2100,-1.5434492590004726E-6
A20000327_0000,5.0264870197215845E-5
A20000327_0300,1.10323472643254E-4
A20000327_0600,7.892553540468415E-5
A20000327_0900,1.0978879568404373E-5
A20000327_1200,-2.371525309589291E-6
A20000327_1500,-1.9045712960605715E-6
A20000327_1800,-2.510176782787675E-6
A20000327_2100,-3.013856128416925E-6
A20000328_0000,6.918851443633911E-5
A20000328_0300,1.3552165417112042E-4
A20000328_0600,9.956361393218403E-5
A20000328_0900,1.5791944512739696E-5
A20000328_1200,4.996578815256451E-7
A20000328_1500,-1.6546364501074913E-7
A20000328_1800,-5.076952341942303E-7
A20000328_2100,-1.3214757733947704E-6
A20000329_0000,6.790638212752069E-5
A20000329_0300,1.2971919780418233E-4
A20000329_0600,8.705486499154432E-5
A20000329_0900,1.4408554540270537E-5
A20000329_1200,-2.7212733860373874E-7
A20000329_1500,8.999187526312738E-7
A20000329_1800,5.43686307799861E-7
